communes ,coordonnées gps 
Ambarès-et-Lagrave,"44.944, -0.501"
Ambès,"45.011270, -0.532190"
Artigues-près-Bordeaux,"44.860, -0.490"
Bassens,"44.908, -0.526"
Bègles,"44.802, -0.548"
Blanquefort,"44.923, -0.612"
Bordeaux,"44.857, -0.574"
Bouliac,"44.816, -0.505"
Bruges,"44.889, -0.600"
Carbon-Blanc,"44.902, -0.501"
Cenon,"44.857800, -0.531700"
Eysines,"44.880, -0.648"
Floirac,"44.834, -0.521"
Gradignan,"44.771, -0.616"
Le Bouscat,"44.866, -0.602"
Le Haillan,"44.869, -0.684"
Le Taillan-Médoc,"44.911, -0.681"
Lormont,"44.877, -0.520"
Martignas-sur-Jalle,"44.845, -0.796"
Mérignac,"44.832, -0.682"
Parempuyre,"44.950, -0.583333"
Pessac,"44.805830, -0.630386"
Saint-Aubin-de-Médoc,"44.913056, -0.724167"
Saint-Louis-de-Montferrand,"44.958274, -0.533093"
Saint-Médard-en-Jalles,"44.895295, -0.718100"
Saint-Vincent-de-Paul,"44.974, -0.481"
Talence,"44.806, -0.591"
Villenave-d’Ornon,"44.773, -0.558"