Nom des communes ou EPCI ayant un service de police municipale (par ordre alphabétique),SUM de Nombre d’agents de police municipale,SUM de Nombre d’habitants de la commune
AMBES,0,"3 291,00"
BOULIAC ,1,"4 800,00"
SAINT-LOUIS-DE-MONTFERRAND ,1,"2 113,00"
CARBON-BLANC ,2,"8 500,00"
PAREMPUYRE ,2,"10 407,00"
ARTIGUES-PRES-BORDEAUX ,3,"9 500,00"
MARTIGNAS-SUR-JALLE ,3,"8 500,00"
BLANQUEFORT ,4,"17 419,00"
LE HAILLAN ,4,"12 507,00"
LE TAILLAN-MEDOC ,4,"10 500,00"
SAINT-AUBIN-DE-MEDOC ,4,"7 800,00"
AMBARES-ET-LAGRAVE ,5,"17 500,00"
BEGLES ,5,"30 642,00"
EYSINES ,5,"24 436,00"
BASSENS ,6,"8 200,00"
FLOIRAC ,8,"19 000,00"
LE BOUSCAT ,8,"24 339,00"
BRUGES ,9,"21 000,00"
GRADIGNAN ,9,"26 000,00"
LORMONT ,12,"24 000,00"
SAINT-MEDARD-EN-JALLES ,12,"33 239,00"
CENON ,14,"26 600,00"
TALENCE,16,"45 869,00"
VILLENAVE-D'ORNON ,17,"40 500,00"
MERIGNAC ,28,"76 000,00"
PESSAC ,28,"66 000,00"
BORDEAUX ,177,"266 887,00"
Total général,387,"845 549,00"