Nom des communes ,SUM de Nombre d’agents de police municipale,SUM de Nombre d’habitants de la commune
Ambès,0,3148
Bouliac,1,3730
Saint Louis de Montferrand,1,2149
Carbon Blanc,2,8000
Ambarès et Lagrave,3,16719
Artigues-près-Bordeaux,3,8700
Eysines,3,24300
Le Haillan,3,11201
Martignas-sur-Jalle,3,8000
Parempuyre,3,9045
Saint aubin de médoc ,3,7620
Bassens,4,7464
Bègles,4,28000
Blanquefort,4,16281
Le Taillan-Médoc,4,10263
Gradignan,6,26000
Le Bouscat,6,24000
Saint Médard en Jalles,6,32052
Bruges,7,20 000
Lormont,9,23538
Cenon,10,25518
Floirac,12,17882
Talence,12,43000
Villenave d'Ornon,12,35278
Pessac,19,64000
Mérignac,24,70000
BORDEAUX,135,256045
Total général,299,801933